VideoGameName,PC_Windows,PC_MAC,Playstation,NintendoSwitch,Xbox,Phone_Android,Phone_iPhone,Description,YoutubeTrailerLink,AgeRating,GenreCategory,PopularityRating,NumberofPlayers
Stardew Valley,1,1,1,1,0,1,1,You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?,https://youtu.be/8A7A1X1TVNc,Everyone10+,Cozy,Overwhelmingly Popular,3-4
Age of Empires,1,1,0,0,0,0,0,Age of Empires requires the player to develop a civilization from a handful of hunter-gatherers to an expansive Iron Age Empire.,https://youtu.be/_rS_n3JVTPE,Teen13+,City Builder,Very Positive,5+
Phasmophobia,1,1,0,0,0,0,0,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,https://youtu.be/sRa9oeo5KiY,Teen13+,Horror,Overwhelmingly Popular,3-4
FATAL FRAME / PROJECT ZERO: Mask of the Lunar Eclipse,1,0,1,1,1,0,0,A group of children mysteriously disappeared during a festival on Rogetsu Isle. Although they were found they had lost their memories. Now they have returned to the island as teenagers. The girls rely on the Camera Obscura a camera with the power to capture and seal away unthinkable horrors and the faint beam of their flashlight while exploring various locations and fending off the ghosts that attack them as they attempt to discover the truth of their haunting past.,https://youtu.be/H8K_4hgSHqI?si=p8FFKoY7cAslmaX3,Teen13+,Horror,Very Positive,1
Overcooked,1,1,1,1,0,0,0,Overcooked is a chaotic couch co-op cooking game for one to four players. Working as a team you and your fellow chefs must prepare cook and serve up a variety of tasty orders before the baying customers storm out in a huff.,https://youtu.be/Ob6VIECzAFk,Everyone,Puzzle/word,Very Positive,3-4
Civilization VI,1,1,1,1,1,1,1,Originally created by legendary game designer Sid Meier Civilization is a turn-based strategy game in which you attempt to build an empire to stand the test of time. Become Ruler of the World by establishing and leading a civilization from the Stone Age to the Information Age.,https://www.youtube.com/watch?v=5KdE0p2joJw,Everyone10+,City Builder,Very Positive,3-4
Baldur's Gate 3,1,1,1,0,1,0,0,Gather your party and return to the Forgotten Realms in a tale of fellowship and betrayal sacrifice and survival and the lure of absolute power. Mysterious abilities are awakening inside you drawn from a mind flayer parasite planted in your brain,https://www.youtube.com/watch?v=XuCfkgaaa08,Mature17+,Adventure/RPG,Overwhelmingly Positive,3-4
Little Nightmares II,1,0,1,1,1,0,0,Little Nightmares II is a suspense adventure game in which you play as Mono a young boy trapped in a world that has been distorted by an evil transmission. Together with new friend Six he sets out to discover the source of the Transmission.,https://www.youtube.com/watch?v=AI9zBBTyX-E,Teen13+,Horror,Very Positive,1
Elden Ring,1,0,1,0,1,0,0,LDEN RING developed by FromSoftware Inc. and BANDAI NAMCO Entertainment Inc. is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki and George R.R. Martin. Danger and discovery lurk around every corner in FromSoftware's largest game to-date.,https://www.youtube.com/watch?v=jentG1Cyp9s,Mature17+,Adventure/RPG,Very Positive,1
