VideoGameName,PC_Windows,PC_MAC,Playstation,NintendoSwitch,Xbox,Phone_Android,Phone_iPhone,Description,YoutubeTrailerLink,AgeRating,GenreCategory,NumberofPlayers,PopularityRating
Slay the Spire,1,1,1,1,1,1,1,We fused card games and roguelikes together to make the best single player deckbuilder we could. Craft a unique deck encounter bizarre creatures discover relics of immense power and Slay the Spire!,https://www.youtube.com/watch?v=9SZUtyYSOjQ,Everyone10+,Adventure/RPG,1,Overwhelmingly Positive
Cult of the Lamb,1,1,1,1,1,0,0,Start your own cult in a land of false prophets venturing out into diverse and mysterious regions to build a loyal community of woodland Followers and spread your Word to become the one true cult.,https://www.youtube.com/watch?v=xsPtUNB1z-Q,Teen13+,Adventure/RPG,1,Very Positive
The Binding of Isaac,1,1,0,0,0,0,0,When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith Isaac escapes into the basement facing droves of deranged enemies lost brothers and sisters his fears and eventually his mother.,https://www.youtube.com/watch?v=27Le3kOOFQk,Mature17+,Adventure/RPG,1,Overwhelmingly Positive
Subway Surfers,0,0,0,0,0,1,1,Subway Surfers is an endless runner mobile game which is co-developed by Kiloo and SYBO Games private companies based in Denmark.,https://www.youtube.com/watch?v=tYysQOHTimo,Everyone10+,Adventure/RPG,1,Mixed
Clash of Clans,0,0,0,0,0,1,1,Join millions of players worldwide as you build your village raise a clan and compete in epic Clan Wars!,https://www.youtube.com/watch?v=MhezwNw8X_8,Everyone10+,Adventure/RPG,1,Mixed
Raid: Shadow Legends,0,0,0,0,0,1,1,The realm of Teleria trembles beneath the shadow of the Dark Lord Siroth. You have been called upon by the Arbiter the immortal guardian of Teleria to stop him. Heed the call!,https://www.youtube.com/watch?v=gmwbHdJLadE,Teen13+,Adventure/RPG,1,Mixed
Uno,1,1,0,0,0,1,1,One of the most iconic classic games which we all grew to know and love! UNO makes its return with an assortment of exciting new features such as added video chat support and an all new theme system which adds more fun!,https://www.youtube.com/watch?v=5kJj18VDLBg,Everyone,Puzzle/word/card,5+,Mostly Positive
Persona 5 Tactica,0,0,1,1,1,0,0,Join the Phantom Thieves as they lead an uprising of the heart! Assemble an all-star team of heroes in a brand-new story in this thrilling combat adventure set in Persona’s iconic universe.,https://www.youtube.com/watch?v=pQ5qzyjdews,Teen13+,Adventure/RPG,1,Mostly Positive
Yu-Gi-Oh! Master Duel,1,1,1,1,1,1,1,Yu-Gi-Oh! MASTER DUEL is the ultimate free-to-play cross-platform strategy card game with fast-paced Duels stunning HD graphics and a new dynamic soundtrack! Get ready to challenge Duelists around the world!,https://www.youtube.com/watch?v=P_X2mPSyxtM,Teen13+,Fighting,2,Mostly Positive
Plants Vs. Zombie,1,1,0,0,0,1,1,Zombies are invading your home and the only defense is your arsenal of plants! Armed with an alien nursery-worth of zombie-zapping plants like peashooters and cherry bombs you'll need to think fast and plant faster to stop dozens of types of zombies dead in their tracks.,https://www.youtube.com/watch?v=CHAbHz8iYHc,Everyone10+,Puzzle/word/card,1,Overwhelmingly Positive
